week_index,week_start,iso_week,stable_to_voucher_purchase_events,stable_input_value_usd,voucher_output_value_usd,stable_input_to_voucher_output_ratio,purchase_proxy_later_return_events,purchase_proxy_later_return_rate,issuer_self_stable_to_voucher_events
26,2024-10-14,2024-W42,2,222.0,224.521312,0.98877,2,1.0,0
27,2024-10-21,2024-W43,1,0.1,0.101136,0.98877,1,1.0,1
28,2024-10-28,2024-W44,0,0.0,0.0,,0,,0
29,2024-11-04,2024-W45,1,0.12,0.121363,0.98877,0,0.0,0
30,2024-11-11,2024-W46,0,0.0,0.0,,0,,0
31,2024-11-18,2024-W47,5,535.76,541.558108,0.989294,4,0.8,1
32,2024-11-25,2024-W48,2,230.0,232.612171,0.98877,2,1.0,0
33,2024-12-02,2024-W49,6,804.0,813.13124,0.98877,6,1.0,0
34,2024-12-09,2024-W50,2,184.0,186.089736,0.98877,2,1.0,0
35,2024-12-16,2024-W51,0,0.0,0.0,,0,,0
36,2024-12-23,2024-W52,0,0.0,0.0,,0,,0
37,2024-12-30,2025-W01,0,0.0,0.0,,0,,0
38,2025-01-06,2025-W02,7,960.96,971.873876,0.98877,7,1.0,0
39,2025-01-13,2025-W03,10,1318.0,937.932726,1.405218,10,1.0,0
40,2025-01-20,2025-W04,1,15.0,15.170359,0.98877,1,1.0,0
41,2025-01-27,2025-W05,10,1038.63,869.982965,1.193851,10,1.0,0
42,2025-02-03,2025-W06,0,0.0,0.0,,0,,0
43,2025-02-10,2025-W07,1,74.0,74.840437,0.98877,1,1.0,0
44,2025-02-17,2025-W08,1,300.0,303.407179,0.98877,1,1.0,0
45,2025-02-24,2025-W09,3,79.0,78.732371,1.003399,3,1.0,1
46,2025-03-03,2025-W10,1,3.0,2.991333,1.002898,1,1.0,0
47,2025-03-10,2025-W11,2,154.0,153.401516,1.003901,2,1.0,2
48,2025-03-17,2025-W12,0,0.0,0.0,,0,,0
49,2025-03-24,2025-W13,0,0.0,0.0,,0,,0
50,2025-03-31,2025-W14,0,0.0,0.0,,0,,0
51,2025-04-07,2025-W15,0,0.0,0.0,,0,,0
52,2025-04-14,2025-W16,2,8.44,8.535855,0.98877,2,1.0,0
53,2025-04-21,2025-W17,0,0.0,0.0,,0,,0
54,2025-04-28,2025-W18,0,0.0,0.0,,0,,0
55,2025-05-05,2025-W19,1,1.0,0.997111,1.002898,1,1.0,0
56,2025-05-12,2025-W20,2,1081.43,1077.227281,1.003901,2,1.0,2
57,2025-05-19,2025-W21,0,0.0,0.0,,0,,0
58,2025-05-26,2025-W22,1,250.0,249.028435,1.003901,1,1.0,1
59,2025-06-02,2025-W23,0,0.0,0.0,,0,,0
60,2025-06-09,2025-W24,2,1.16,1.142013,1.015751,2,1.0,0
61,2025-06-16,2025-W25,0,0.0,0.0,,0,,0
62,2025-06-23,2025-W26,0,0.0,0.0,,0,,0
63,2025-06-30,2025-W27,0,0.0,0.0,,0,,0
64,2025-07-07,2025-W28,5,5.41,5.32611,1.015751,3,0.6,1
65,2025-07-14,2025-W29,1,0.0,0.0,,0,0.0,0
66,2025-07-21,2025-W30,0,0.0,0.0,,0,,0
67,2025-07-28,2025-W31,1,19.0,18.926161,1.003901,1,1.0,0
68,2025-08-04,2025-W32,4,915.15,8325.13014,0.109926,4,1.0,0
69,2025-08-11,2025-W33,0,0.0,0.0,,0,,0
70,2025-08-18,2025-W34,0,0.0,0.0,,0,,0
71,2025-08-25,2025-W35,1,0.5,0.49472,1.010672,0,0.0,0
72,2025-09-01,2025-W36,0,0.0,0.0,,0,,0
73,2025-09-08,2025-W37,8,884.8377,881.418412,1.003879,7,0.875,2
74,2025-09-15,2025-W38,0,0.0,0.0,,0,,0
75,2025-09-22,2025-W39,1,1.0,0.996115,1.0039,0,0.0,0
76,2025-09-29,2025-W40,0,0.0,0.0,,0,,0
77,2025-10-06,2025-W41,2,387.1,385.59049,1.003915,1,0.5,1
78,2025-10-13,2025-W42,4,19.0,19.356069,0.981604,0,0.0,0
79,2025-10-20,2025-W43,1,164.38,163.741176,1.003901,1,1.0,1
80,2025-10-27,2025-W44,3,317.7,271.295605,1.171047,1,0.333333,1
81,2025-11-03,2025-W45,2,4952.86,13864.20986,0.357241,2,1.0,2
82,2025-11-10,2025-W46,3,9.6,7.657811,1.253622,1,0.333333,0
83,2025-11-17,2025-W47,1,3.81,3.740546,1.018568,0,0.0,0
84,2025-11-24,2025-W48,4,33.68,4.210309,7.999414,2,0.5,0
85,2025-12-01,2025-W49,1,0.000781,0.000767,1.018649,0,0.0,0
86,2025-12-08,2025-W50,4,48.39,49.915186,0.969444,2,0.5,0
87,2025-12-15,2025-W51,0,0.0,0.0,,0,,0
88,2025-12-22,2025-W52,0,0.0,0.0,,0,,0
89,2025-12-29,2026-W01,0,0.0,0.0,,0,,0
90,2026-01-05,2026-W02,6,18.79,18.720373,1.003719,4,0.666667,0
91,2026-01-12,2026-W03,0,0.0,0.0,,0,,0
92,2026-01-19,2026-W04,3,39.0,38.289057,1.018568,0,0.0,0
93,2026-01-26,2026-W05,0,0.0,0.0,,0,,0
94,2026-02-02,2026-W06,7,31.29,30.900055,1.01262,4,0.571429,0
95,2026-02-09,2026-W07,14,62.55625,61.416122,1.018564,1,0.071429,0
96,2026-02-16,2026-W08,13,1.953826,1.930776,1.011938,0,0.0,0
97,2026-02-23,2026-W09,3,1.65125,1.616528,1.021479,2,0.666667,0
98,2026-03-02,2026-W10,15,92.312785,90.615603,1.018729,2,0.133333,0
99,2026-03-09,2026-W11,34,371.064163,360.690356,1.028761,17,0.5,0
100,2026-03-16,2026-W12,26,263.654199,257.879065,1.022395,2,0.076923,0
101,2026-03-23,2026-W13,21,138.4875,135.527978,1.021837,2,0.095238,0
102,2026-03-30,2026-W14,23,174.117057,171.639909,1.014432,5,0.217391,2
103,2026-04-06,2026-W15,41,341.408713,334.65496,1.020181,0,0.0,0
104,2026-04-13,2026-W16,34,432.742216,422.533155,1.024162,0,0.0,0
105,2026-04-20,2026-W17,16,110.256392,107.758406,1.023181,0,0.0,0
106,2026-04-27,2026-W18,26,110.476061,108.290378,1.020184,0,0.0,0
107,2026-05-04,2026-W19,15,166.686777,163.270991,1.020921,1,0.066667,0
108,2026-05-11,2026-W20,13,174.126608,170.334488,1.022263,0,0.0,0
